T_trend_r,affected_region,affected_species,alpha_round_threshold,chi2_over_dof,p_bootstrap,p_combined_best_model,p_component_T_trend,p_component_chi2,p_component_species_bias,p_component_worst_cell,p_component_z_autocorr,p_model_irreversible,p_model_rev-dilute,p_model_rev-pitzer,rejected_at_threshold,round,round_first_detected,scenario,seed,species_bias_z_AcOH,species_bias_z_EG,species_bias_z_EGDA,species_bias_z_EGMA,state,strategy,trigger_reasons,z_autocorr_r
0.0,,,0.00625,1.0036864287700509,nan,0.9548082365970226,1.0,0.46171552082461065,0.8737243814599094,0.8737243814599094,0.7996958179830509,,,0.9548082365970226,0,1,-1,S1_ideal,1,0.36805759522130876,-0.3030122342729364,0.834702491001818,-0.22361237063955045,NORMAL_LEARNING,F,,-0.14008920295284585
0.0,,,0.00625,0.7625994991671167,nan,0.9948410962591449,1.0,0.9359125477372577,0.7782675918681576,0.8865964848345906,0.6512521933620582,,,0.9948410962591449,0,2,-1,S1_ideal,1,0.8928681496881599,-0.5541924109552645,1.007302135731636,0.19760321222073338,NORMAL_LEARNING,F,,-0.04580912762144279
0.0,,,0.00625,0.7261068198122431,nan,0.9925920811434729,1.0,0.9877376230668872,0.9072032454003154,0.9615091900671833,0.6250794518419306,,,0.9925920811434729,0,3,-1,S1_ideal,1,0.44866732105151885,-0.4617893616383127,0.7586348466655973,-0.04512327045383,NORMAL_LEARNING,F,,-0.030681249562250986
0.45994738577758004,,,0.00625,0.8141837373705668,nan,0.7881752833381966,0.6190166060000442,0.955949118559645,0.802000911219992,0.9699818460834929,0.2668458000221141,,,0.7881752833381966,0,4,-1,S1_ideal,1,-0.10100241261078477,0.2578178976040421,0.9682117667220843,0.6290521365941021,NORMAL_LEARNING,F,,0.05186505428242655
0.11702528421770433,,,0.00625,0.8760081498206169,nan,0.8241073154456781,0.8679519414888743,0.8927768137953804,0.9402308966246116,0.9720820433856733,0.29360184628753483,,,0.8241073154456781,0,5,-1,S1_ideal,1,-0.5577343200212685,0.5888175735729576,0.6266674388382157,0.6657770147062441,NORMAL_LEARNING,F,,0.04046483162328112
0.35875491734836223,,,0.00625,0.8626186300984463,nan,0.7551020748319909,0.515492545765478,0.9368554497044282,0.7372362548078859,0.9787908319356086,0.24526060193561683,,,0.7551020748319909,0,6,-1,S1_ideal,1,-0.48828845608672733,1.0712974382055576,0.9671776444573501,0.7767387517059866,NORMAL_LEARNING,F,,0.04691317740723994
0.4202072305145833,,,0.00625,0.8910149501470513,nan,0.9010025883346175,0.37031294102645607,0.9025841628032641,0.528752272836024,0.9777803511317698,0.44972592215490714,,,0.9010025883346175,0,7,-1,S1_ideal,1,-0.39584769306239415,1.3675204926559303,1.191628197909325,0.9144092105122247,NORMAL_LEARNING,F,,0.0079595433803853
0.27676614647450615,,,0.00625,0.8674630697042043,nan,0.9599075346490047,0.5251427416022243,0.9566796516381137,0.48255437248303656,0.918595537312753,0.4744518005569054,,,0.9599075346490047,0,8,-1,S1_ideal,1,-0.38944603116586113,1.432983100973428,1.3222622173962324,1.1187091468848238,NORMAL_LEARNING,F,,0.003776166724070563
0.0,,,0.00625,1.0233295365980002,nan,0.9398557861441076,1.0,0.43004735883860096,0.810183235774327,0.810183235774327,0.7413428879600179,,,0.9398557861441076,0,1,-1,S1_ideal,2,0.9542844917413182,-0.9114559196821489,-0.26408637137166674,-0.4378640890296379,NORMAL_LEARNING,F,,-0.10791516496340778
0.0,,,0.00625,1.0611737359605544,nan,0.8723616943747897,1.0,0.33748425174916885,0.5774250919692021,0.8530813323363632,0.6691728018899583,,,0.8723616943747897,0,2,-1,S1_ideal,2,1.2417352292828143,-1.2995988554681257,-0.3481670334432352,-1.1490116944185835,NORMAL_LEARNING,F,,-0.051575210287148086
