scenario_id,relative_path,catalyst,geometry,status,reason,details,retained_in_analysis
fb92178e2d28ea0a,H2SO4/CPR_dimensions/s00__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q1+1,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
4dd5dd7f5d98ca9a,H2SO4/CPR_dimensions/s01__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q2+2,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
072e5476571d4e48,H2SO4/CPR_dimensions/s02__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q3+3,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
ed101a57299ba4a0,H2SO4/CPR_dimensions/s03__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q4+4,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
84e3a82ad6d0e213,H2SO4/CPR_dimensions/s04__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q5+5,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
b745ea720bb255b7,H2SO4/CPR_dimensions/s05__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q1+1,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
38f498129b11f89a,H2SO4/CPR_dimensions/s06__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q2+2,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
c77c9d303ff81e7e,H2SO4/CPR_dimensions/s07__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q3+3,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
74fce1e4885a91f4,H2SO4/CPR_dimensions/s08__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q4+4,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
80b09720d67d903c,H2SO4/CPR_dimensions/s09__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q5+5,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
995556558f435735,H2SO4/CPR_dimensions/s10__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.3M_cat0.1M_Q1+1,H2SO4,A,retained_with_advisory,radially_segregated,"Retained; flags are applicability/validity diagnostics, not loader failures.",True
