scenario_id,relative_path,catalyst,geometry,temperature_K,inverse_temperature_K_inv,area_m2,volume_m3,volume_mL,Q_total_mL_min,Q_total_m3_s,superficial_velocity_m_s,tau_calculated_s,tau_relative_error,linked_equal_flows,stream1_flow_fraction,stream2_flow_fraction,C_EGDA_in_M,C_catalyst_mixed_M,C_rate_driver_in_M,C_H_plus_in_M,C_OH_in_M,C_H2O_in_M,EGDA_dilution_factor,catalyst_dilution_factor,catalyst_to_EGDA_molar_ratio,catalyst_per_acetate_group,k1_L_mol_s,k2_L_mol_s,k1_over_k2,Da1,Da2,R_OH,EGDA_feed_mol_s,catalyst_feed_mol_s,EGMA_out_mol_s,STY_EGMA_mol_m3_s,STY_EGMA_mol_Lreactor_h,EGMA_mol_per_catalyst_mol,EGMA_mol_per_EGDA_feed_mol,water_depletion_fraction,density_estimated_g_L,viscosity_Pa_s,Re,flow_regime,radial_diffusion_time_s,t_rad_over_tau,Taylor_Aris_Dax_m2_s,Bo,pfr_advisory,requires_pressurization,numerically_valid,pressure_valid,ideal_pfr_supported,physical_valid,C_EGDA_out_profile_M,C_EGMA_out_profile_M,C_EG_out_profile_M,C_AcOH_out_profile_M,C_H2O_out_profile_M,C_OH_out_profile_M,OH_residual_fraction,OH_utilization_fraction,EGDA_conversion_stoichiometric_ceiling,total_cleavage_stoichiometric_fraction,Q1_over_K1_out,Q2_over_K2_out,X_over_Xeq,C_EGMA_peak_M,Y_EGMA_peak,x_peak_m,tau_peak_s,x_peak_over_L,tau_peak_over_tau_out,peak_is_interior,peak_is_at_outlet,remaining_length_after_peak_m,remaining_time_after_peak_s,EGMA_increasing_at_outlet,peak95_start_x_m,peak95_end_x_m,peak95_width_m,peak95_width_over_L,peak95_start_tau_s,peak95_end_tau_s,peak95_width_s
fb92178e2d28ea0a,H2SO4/CPR_dimensions/s00__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q1+1,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,2,3.33333333333e-08,0.00265258238486,22.6194671058,0,True,0.5,0.5,0.05,0.05,0.0575299083177,0.0575299083177,0,56.635526,0.5,0.5,1,0.5,0.000231428522028,0.000103283760313,2.24070581209,0.000301156979637,0.000134402730609,0,1.66666666667e-06,1.66666666667e-06,5.13564046667e-10,0.000681135471844,0.00245208769864,0.000308138428,0.000308138428,2.73679810026e-07,1032.5,0.000890438981615,12.303106081,laminar,4000,176.838825658,,,radially_segregated,False,True,True,False,False,0.049984592,1.54069214e-05,1.05967552e-09,1.54090408e-05,56.6355105,0,,,,,1.67724496455e-10,1.49704138799e-10,0.000308174622284,1.54069214e-05,0.000308138428,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
4dd5dd7f5d98ca9a,H2SO4/CPR_dimensions/s01__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q2+2,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,4,6.66666666667e-08,0.00530516476973,11.3097335529,0,True,0.5,0.5,0.05,0.05,0.0575299083177,0.0575299083177,0,56.635526,0.5,0.5,1,0.5,0.000231428522028,0.000103283760313,2.24070581209,0.000150578489818,6.72013653046e-05,0,3.33333333333e-06,3.33333333333e-06,5.13621316e-10,0.000681211427656,0.00245236113956,0.0001540863948,0.0001540863948,1.3772274312e-07,1032.5,0.000890438981615,24.6062121621,laminar,4000,353.677651315,,,radially_segregated,False,True,True,False,False,0.0499922954,7.70431974e-06,2.64939529e-10,7.70484961e-06,56.6355182,0,,,,,4.19311239576e-11,3.74263725412e-11,0.000154099194244,7.70431974e-06,0.000154086395,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
072e5476571d4e48,H2SO4/CPR_dimensions/s02__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q3+3,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,6,1e-07,0.00795774715459,7.53982236862,-1.17798321536e-16,True,0.5,0.5,0.05,0.05,0.0575299083177,0.0575299083177,0,56.635526,0.5,0.5,1,0.5,0.000231428522028,0.000103283760313,2.24070581209,0.000100385659879,4.48009102031e-05,0,5e-06,5e-06,5.13640407e-10,0.000681236747882,0.00245245229237,0.0001027280814,0.0001027280814,9.18151620384e-08,1032.5,0.000890438981615,36.9093182431,laminar,4000,530.516476973,,,radially_segregated,False,True,True,False,False,0.0499948635,5.13640407e-06,1.17753961e-10,5.13663957e-06,56.6355208,0,,,,,1.86360550501e-11,1.66339934036e-11,0.000102735437041,5.13640407e-06,0.000102728081,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
ed101a57299ba4a0,H2SO4/CPR_dimensions/s03__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q4+4,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,8,1.33333333333e-07,0.0106103295395,5.65486677646,0,True,0.5,0.5,0.05,0.05,0.0575299083177,0.0575299083177,0,56.635526,0.5,0.5,1,0.5,0.000231428522028,0.000103283760313,2.24070581209,7.52892449092e-05,3.36006826523e-05,0,6.66666666667e-06,6.66666666667e-06,5.13649952e-10,0.000681249407331,0.00245249786639,7.70474928e-05,7.70474928e-05,6.88613714974e-08,1032.5,0.000890438981615,49.2124243241,laminar,4000,707.355302631,,,radially_segregated,False,True,True,False,False,0.0499961476,3.85237464e-06,6.62374635e-11,3.85250712e-06,56.6355221,0,,,,,1.04827809543e-11,9.35663539713e-12,7.7052568137e-05,3.85237464e-06,7.70474929e-05,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
84e3a82ad6d0e213,H2SO4/CPR_dimensions/s04__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.1M_cat0.1M_Q5+5,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,10,1.66666666667e-07,0.0132629119243,4.52389342117,-1.96330535893e-16,True,0.5,0.5,0.05,0.05,0.0575299083177,0.0575299083177,0,56.635526,0.5,0.5,1,0.5,0.000231428522028,0.000103283760313,2.24070581209,6.02313959273e-05,2.68805461219e-05,0,8.33333333333e-06,8.33333333333e-06,5.1365568e-10,0.000681257004327,0.00245252521558,6.16386816e-05,6.16386816e-05,5.47359620303e-08,1032.5,0.000890438981615,61.5155304052,laminar,4000,884.194128288,,,radially_segregated,False,True,True,False,False,0.049996918,3.08193408e-06,4.2392307e-11,3.08201886e-06,56.6355229,0,,,,,6.70897980768e-12,5.98825203498e-12,6.16425298874e-05,3.08193408e-06,6.16386816e-05,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
b745ea720bb255b7,H2SO4/CPR_dimensions/s05__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q1+1,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,2,3.33333333333e-08,0.00265258238486,22.6194671058,0,True,0.5,0.5,0.1,0.05,0.0575299083177,0.0575299083177,0,56.2299195,0.5,0.5,0.5,0.25,0.000231428522028,0.000103283760313,2.24070581209,0.000301156979637,0.000134402730609,0,3.33333333333e-06,1.66666666667e-06,1.01977360333e-09,0.00135251674838,0.00486906029415,0.000611864162,0.000305932081,5.4419427014e-07,1032.5,0.000890438981615,12.303106081,laminar,4000,176.838825658,,,radially_segregated,False,True,True,False,False,0.0999694047,3.05932081e-05,2.0891052e-09,3.05973863e-05,56.2298889,0,,,,,3.33046607937e-10,2.97264043136e-10,0.000306011958179,3.05932081e-05,0.000305932081,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
38f498129b11f89a,H2SO4/CPR_dimensions/s06__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q2+2,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,4,6.66666666667e-08,0.00530516476973,11.3097335529,0,True,0.5,0.5,0.1,0.05,0.0575299083177,0.0575299083177,0,56.2299195,0.5,0.5,0.5,0.25,0.000231428522028,0.000103283760313,2.24070581209,0.000150578489818,6.72013653046e-05,0,6.66666666667e-06,3.33333333333e-06,1.01988657333e-09,0.00135266657949,0.00486959968617,0.000305965972,0.000152982986,2.7209713507e-07,1032.5,0.000890438981615,24.6062121621,laminar,4000,353.677651315,,,radially_segregated,False,True,True,False,False,0.0999847012,1.52982986e-05,5.22316786e-10,1.52993433e-05,56.2299042,0,,,,,8.32616517628e-11,7.43166771111e-11,0.000153017704781,1.52982986e-05,0.000152982986,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
c77c9d303ff81e7e,H2SO4/CPR_dimensions/s07__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q3+3,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,6,1e-07,0.00795774715459,7.53982236862,-1.17798321536e-16,True,0.5,0.5,0.1,0.05,0.0575299083177,0.0575299083177,0,56.2299195,0.5,0.5,0.5,0.25,0.000231428522028,0.000103283760313,2.24070581209,0.000100385659879,4.48009102031e-05,0,1e-05,5e-06,1.01992424e-09,0.00135271653646,0.00486977953126,0.000203984848,0.000101992424,1.81398090004e-07,1032.5,0.000890438981615,36.9093182431,laminar,4000,530.516476973,,,radially_segregated,False,True,True,False,False,0.0999898005,1.01992424e-05,2.32146793e-10,1.01997067e-05,56.2299093,0,,,,,3.70051788759e-11,3.30297329526e-11,0.000102014409082,1.01992424e-05,0.000101992424,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
74fce1e4885a91f4,H2SO4/CPR_dimensions/s08__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q4+4,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,8,1.33333333333e-07,0.0106103295395,5.65486677646,0,True,0.5,0.5,0.1,0.05,0.0575299083177,0.0575299083177,0,56.2299195,0.5,0.5,0.5,0.25,0.000231428522028,0.000103283760313,2.24070581209,7.52892449092e-05,3.36006826523e-05,0,1.33333333333e-05,6.66666666667e-06,1.01994306667e-09,0.0013527415061,0.00486986942197,0.00015299146,7.649573e-05,1.35159361264e-07,1032.5,0.000890438981615,49.2124243241,laminar,4000,707.355302631,,,radially_segregated,False,True,True,False,False,0.0999923503,7.649573e-06,1.30584258e-10,7.64983417e-06,56.2299119,0,,,,,2.08154129128e-11,1.85792524962e-11,7.65117840481e-05,7.649573e-06,7.649573e-05,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
80b09720d67d903c,H2SO4/CPR_dimensions/s09__cat-H2SO4_rev_T25C_L60mm_ID4mm_EGDA0.2M_cat0.1M_Q5+5,H2SO4,A,298.15,0.00335401643468,1.25663706144e-05,7.53982236862e-07,0.753982236862,10,1.66666666667e-07,0.0132629119243,4.52389342117,-1.96330535893e-16,True,0.5,0.5,0.1,0.05,0.0575299083177,0.0575299083177,0,56.2299195,0.5,0.5,0.5,0.25,0.000231428522028,0.000103283760313,2.24070581209,6.02313959273e-05,2.68805461219e-05,0,1.66666666667e-05,8.33333333333e-06,1.01995436667e-09,0.00135275649319,0.00486992337549,0.000122394524,6.1197262e-05,1.08483171494e-07,1032.5,0.000890438981615,61.5155304052,laminar,4000,884.194128288,,,radially_segregated,False,True,True,False,False,0.0999938802,6.1197262e-06,8.35745732e-11,6.11989334e-06,56.2299134,0,,,,,1.33218642824e-11,1.18907322752e-11,6.12098963182e-05,6.1197262e-06,6.1197262e-05,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
