scenario_id,catalyst,geometry,primary_regime,flag_low_conversion,flag_overreaction_to_EG,flag_EGMA_selective,flag_interior_EGMA_peak,flag_NaOH_exhausted,flag_NaOH_stoichiometric_limit,flag_acid_equilibrium_limit,flag_physical_validity_question
fb92178e2d28ea0a,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
4dd5dd7f5d98ca9a,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
072e5476571d4e48,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
ed101a57299ba4a0,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
84e3a82ad6d0e213,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
b745ea720bb255b7,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
38f498129b11f89a,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
c77c9d303ff81e7e,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
74fce1e4885a91f4,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
80b09720d67d903c,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
995556558f435735,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
a89ff1ab11e04631,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
7c8b5dd793d70969,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
967504bb2c57b8ad,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
0c323deb56aaad4c,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
e650238bbfa7e917,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
8a2601780516a757,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
515606a0f98ce2e8,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
3a995ff85dc1b347,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
fcbff6ef44af46a7,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
4ab13b33c8c93e87,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
597bf2e90d56f74a,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
fadbfffd470d723f,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
ac11cc9dc7fab065,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
7f9f7ad9738d2f5b,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
6ae51f725fc2ef98,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
88f0530e09f45738,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
6c43ae302a9aa90f,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
3c5d3dfb7bdd8cd4,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
b35b8fe168071242,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
5fbb402b4202a12b,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
eade8eff9c1c6985,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
cc728dc17d5b3d22,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
8a4f31fd466cbeb8,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
286b4a5b719c65d3,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
e02378dab38b6022,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
15fb80ac268e7084,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
b86895c5bf212eec,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
03dcbc6fecb56bae,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
76eb3d3407ee1634,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
87ca265516786d03,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
ecba2c16d399b855,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
d20f30018772bd6a,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
a3f79bd318c3dd6e,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
24363320cf83c159,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
c1eaf8855325a1bf,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
a4c6bb268e53cd4f,H2SO4,A,low_conversion,True,False,False,False,False,False,False,True
